"","scale","Apun","Arew","K","betaF","betaP"
"1","basdrive","-.26 (-.58, .02)"," .12 (-.13, .37)"," .16 (-.15, .47)","-.15 (-.47, .31)","-.13 (-.46, .25)"
"2","basfunsk"," .08 (-.20, .33)","-.01 (-.35, .28)"," .01 (-.30, .32)","-.08 (-.39, .32)"," .13 (-.21, .44)"
"3","basrewres","-.14 (-.42, .15)"," .04 (-.22, .27)"," .13 (-.20, .40)","-.14 (-.38, .13)","-.05 (-.29, .19)"
"4","bastot","-.15 (-.41, .12)"," .08 (-.22, .31)"," .13 (-.21, .46)","-.16 (-.44, .20)","-.03 (-.29, .27)"
"5","bis"," .28 ( .03, .49)*","-.18 (-.42, .07)","-.14 (-.42, .15)"," .14 (-.27, .45)","-.06 (-.34, .18)"
"6","masqAA"," .18 (-.19, .53)","-.02 (-.26, .19)"," .12 (-.19, .44)","-.04 (-.28, .21)","-.07 (-.29, .22)"
"7","masqAD"," .19 (-.07, .42)","-.04 (-.32, .24)","-.09 (-.37, .22)"," .07 (-.27, .36)","-.20 (-.49, .10)"
"8","masqGDA"," .30 (-.04, .57)","-.12 (-.33, .12)","-.03 (-.34, .29)"," .06 (-.20, .34)","-.03 (-.22, .18)"
"9","masqGDD"," .31 (-.05, .58)","-.14 (-.34, .09)","-.04 (-.33, .28)"," .10 (-.17, .37)","-.02 (-.28, .28)"
"10","panas_na"," .31 (-.05, .58)","-.15 (-.36, .08)"," .19 (-.09, .46)","-.18 (-.41, .11)","-.16 (-.38, .09)"
"11","panas_pa","-.20 (-.40, .03)"," .11 (-.15, .38)"," .15 (-.15, .38)","-.07 (-.32, .20)"," .06 (-.20, .35)"
"12","prdep_tot"," .19 (-.09, .43)","-.10 (-.36, .15)","-.08 (-.37, .25)"," .07 (-.32, .39)","-.27 (-.55, .07)"
"13","shaps_tot","-.02 (-.29, .23)","-.04 (-.41, .21)","-.10 (-.44, .24)","-.05 (-.35, .23)","-.07 (-.29, .14)"
