"","scale","proportion_good_1_1","proportion_good_2_1","proportion_good_1_2","proportion_good_2_2"
"1","bastot","-.11"," .09","-.21","-.02"
"2","basdrive","-.21","-.13","-.15","-.07"
"3","basfunsk"," .14"," .34","-.04"," .18"
"4","basrewres","-.15"," .05","-.28","-.19"
"5","bis"," .17","-.05"," .11","-.06"
"6","panas_pa","-.11"," .07","-.05"," .16"
"7","panas_na","-.13","-.29"," .09","-.08"
"8","masqGDA"," .08","-.07","",""
"9","masqAA","-.02","-.16","",""
"10","masqGDD"," .04","-.09","",""
"11","masqAD"," .01","-.24","",""
"12","shaps_tot","-.11","-.06","-.30","-.14"
"13","prdep_tot"," .05","-.32","",""
