"","parameter","group","mu","lower","upper","greater_0","sig"
"1","Arew","Anx",0.07,-0.1,0.23,0.78,""
"2","Arew","Dep",0.04,-0.13,0.21,0.69,""
"3","Arew","SUD",0.04,-0.12,0.18,0.68,""
"4","Apun","Anx",0.19,0.05,0.34,1,"*"
"5","Apun","Dep",-0.06,-0.21,0.09,0.23,""
"6","Apun","SUD",0.11,-0.03,0.25,0.94,""
"7","betaF","Anx",0.16,-0.8,1.11,0.63,""
"8","betaF","Dep",0.9,-0.06,1.83,0.97,""
"9","betaF","SUD",-0.18,-1.11,0.78,0.35,""
"10","betaB","Anx",0.24,0,0.5,0.97,""
"11","betaB","Dep",0.11,-0.15,0.38,0.8,""
"12","betaB","SUD",0.17,-0.07,0.42,0.91,""
