block,trial_seq,Deck_A,Deck_B,Deck_C,Deck_D
1,1,100,100,50,50
1,2,100,100,50,50
1,3,-50,100,0,50
1,4,100,100,50,50
1,5,-200,100,0,50
1,6,100,100,50,50
1,7,-100,100,0,50
1,8,100,100,50,50
1,9,-150,-1150,0,50
1,10,-250,100,0,-200
2,1,100,100,50,50
2,2,100,100,50,50
2,3,-50,100,0,50
2,4,100,100,50,50
2,5,-200,100,0,50
2,6,100,100,50,50
2,7,-100,100,0,50
2,8,100,100,50,50
2,9,-150,-1150,0,50
2,10,-250,100,0,-200
3,1,100,100,50,50
3,2,100,100,50,50
3,3,-50,100,0,50
3,4,100,100,50,50
3,5,-200,100,0,50
3,6,100,100,50,50
3,7,-100,100,0,50
3,8,100,100,50,50
3,9,-150,-1150,0,50
3,10,-250,100,0,-200
